Regions,pop_density_2001,pop_density_2011,pop_density_2019
Sintra,"1,138.40","1,186.40","1,221.40"
Vila Franca de Xira,381.3,432.3,445.6
Alentejo,24.6,23.9,22.3
Alentejo Litoral,18.8,18.5,17.6
Alcácer do Sal,9.5,8.7,7.8
Grândola,18.2,18,17.7
Odemira,15.2,15.1,14.3
Santiago do Cacém,29.3,28.1,27.1
Sines,67.1,69.9,67.3
Baixo Alentejo,15.8,14.8,13.6
Aljustrel,22.9,20.1,18
Almodôvar,10.5,9.5,8.7
Alvito,10,9.5,9.3
Barrancos,11.4,10.8,9.7
Beja,31.2,31.2,29.3
Castro Verde,13.3,12.8,12.2
Cuba,28.8,28.4,26.7
Ferreira do Alentejo,13.9,12.8,12.1
Mértola,6.7,5.6,4.8
Moura,17.2,15.7,14.3
Ourique,9.3,8.1,7
Serpa,15.1,14.1,13
Vidigueira,19.5,18.7,17.4
Lezíria do Tejo,56.4,57.9,55.6
Almeirim,99.1,105.5,101.6
Alpiarça,83,80.6,74.2
Azambuja,81.5,83.6,86
Benavente,44.7,56,58.3
Cartaxo,149.6,155,150.4
Chamusca,15.3,13.5,12.4
Coruche,19,17.8,15.7
Golegã,74.9,71.2,63.5
Rio Maior,77.9,77.8,74.6
Salvaterra de Magos,84.1,91,87.2
Santarém,113,110.8,103.9
Alto Alentejo,20.8,19.4,17.3
Alter do Chão,10.9,9.9,8.8
Arronches,10.7,10,9
Avis,8.6,7.6,7
Campo Maior,34,34.2,31.9
Castelo de Vide,14.5,12.8,11.1
Crato,10.9,9.3,7.9
Elvas,37,36.4,32.7
Fronteira,15,13.7,12
Gavião,16.5,14,11.2
Marvão,26,22.6,19.6
Monforte,8.1,7.9,7.1
Nisa,14.9,12.9,10.6
Ponte de Sor,21.5,19.8,17.9
Portalegre,57.9,55.4,49.8
Sousel,20.6,18.1,15.9
Alentejo Central,23.5,22.5,20.6
Alandroal,12,10.7,9.3
Arraiolos,11.2,10.8,10.1
Borba,53.5,50.5,46.6
Estremoz,30.4,27.7,24.9
Évora,43.3,43.2,40.1
Montemor-o-Novo,15.1,14.1,12.7
Mora,13,11.1,9.4
Mourão,11.5,9.5,8.8
Portel,11.8,10.7,9.7
Redondo,19.8,19,17.2
Reguengos de Monsaraz,24.4,23.3,21.6
Vendas Novas,51.7,53.3,50.6
Viana do Alentejo,14.3,14.6,13.1
Vila Viçosa,45.4,42.6,39.5
Algarve,79.5,89.8,87.8
Algarve,79.5,89.8,87.8
Albufeira,226,288.4,293.8
Alcoutim,6.5,5,3.8
Aljezur,16.4,18.1,17.3
Castro Marim,22,22.3,20.8
Faro,288.4,316.5,301.1
Lagoa,233.3,259.4,257.8
Lagos,120.1,145.2,142.8
Loulé,77.9,92,90.1
Monchique,17.5,15.1,13
Olhão,315.1,346,340.1
Portimão,249,304.6,304.6
São Brás de Alportel,67,69.2,67.9
Silves,50,54.4,53.2
Tavira,41.1,42.9,40.6
Vila do Bispo,29.9,29.3,28.8
Vila Real de Santo António,290.3,312,307.2
Região Autónoma dos Açores,104.2,106.4,104.6
Região Autónoma dos Açores,104.2,106.4,104.6
Ilha de Santa Maria,57.6,57.5,58
Vila do Porto,57.6,57.5,58
Ilha de São Miguel,177,185.3,184.3
Lagoa [R.A.A.],309.9,317.4,322.5
Nordeste,52.8,48.9,48
Ponta Delgada,283.1,295.4,291.4
Povoação,62.1,59.3,55.8
Ribeira Grande,158.8,178.6,181.8
Vila Franca do Campo,142.7,144.1,141.9
Ilha Terceira,139.6,141.2,137.9
Angra do Heroísmo,148.9,147.9,141.7
Vila da Praia da Vitória,125.8,131.2,132.2
Ilha Graciosa,78.8,72.6,69.5
Santa Cruz da Graciosa,78.8,72.6,69.5
Ilha de São Jorge,39.6,37.4,34.1
Calheta [R.A.A.],32.1,29.5,25.3
Velas,47.7,46,43.6
Ilha do Pico,33.2,31.8,30.7
Lajes do Pico,32.4,30.4,28.9
Madalena,41.7,41,40
São Roque do Pico,25.4,23.8,22.9
Ilha do Faial,87.1,86.7,84
Horta,87.1,86.7,84
Ilha das Flores,28.3,27,25.7
Lajes das Flores,21.5,21.7,20.9
Santa Cruz das Flores,35.1,32.3,30.5
Ilha do Corvo,24.8,24.7,27.1
Corvo,24.8,24.7,27.1
Região Autónoma da Madeira,313.6,332.2,317
Região Autónoma da Madeira,313.6,332.2,317
Ilha da Madeira,324.4,343.6,328.2
Calheta [R.A.M.],108.1,102.9,97.5
Câmara de Lobos,669.4,679.3,646
Funchal,"1,377.30","1,457.70","1,366.60"
Machico,318.4,316.9,293.6
Ponta do Sol,174.3,191.3,185.4
Porto Moniz,35.3,32.3,28.3
Ribeira Brava,193,202.8,189.8
Santa Cruz,448.9,528.2,552.3
Santana,91.2,79.9,70.5
São Vicente,76.5,71.8,65.3
Ilha de Porto Santo,112.7,127.6,120.6
Porto Santo,112.7,127.6,120.6
